"Aceptar.diferencia","Participacion","Aula.abierta","Aprendizaje"
"Rechaza uno o más grupos",16,22,NA
"Acepta todos los grupos",13,23,22
"Rechaza uno o más grupos",12,16,14
"Acepta todos los grupos",11,19,22
"Rechaza uno o más grupos",11,17,24
"Rechaza uno o más grupos",10,21,26
"Rechaza uno o más grupos",12,19,17
"Rechaza uno o más grupos",13,17,22
"Rechaza uno o más grupos",18,16,22
"Acepta todos los grupos",12,17,20
"Rechaza uno o más grupos",12,19,19
"Rechaza uno o más grupos",15,22,17
"Rechaza uno o más grupos",13,21,28
"Rechaza uno o más grupos",12,17,21
"Rechaza uno o más grupos",10,16,24
"Rechaza uno o más grupos",11,10,13
"Rechaza uno o más grupos",13,19,13
"Acepta todos los grupos",13,20,22
"Rechaza uno o más grupos",15,15,24
"Rechaza uno o más grupos",9,17,20
"Rechaza uno o más grupos",17,20,17
"Rechaza uno o más grupos",14,17,9
"Acepta todos los grupos",17,22,24
"Rechaza uno o más grupos",13,19,27
"Rechaza uno o más grupos",12,19,21
"Rechaza uno o más grupos",16,18,14
"Rechaza uno o más grupos",15,21,22
"Rechaza uno o más grupos",15,21,21
"Rechaza uno o más grupos",12,23,24
"Rechaza uno o más grupos",15,15,22
"Rechaza uno o más grupos",14,19,15
"Acepta todos los grupos",11,12,7
"Rechaza uno o más grupos",13,15,8
"Acepta todos los grupos",13,24,26
"Rechaza uno o más grupos",11,12,21
"Rechaza uno o más grupos",15,13,11
"Rechaza uno o más grupos",15,12,20
"Rechaza uno o más grupos",19,22,23
"Rechaza uno o más grupos",18,13,23
"Rechaza uno o más grupos",16,15,20
"Rechaza uno o más grupos",12,21,28
"Rechaza uno o más grupos",15,22,23
"Rechaza uno o más grupos",14,20,16
"Rechaza uno o más grupos",17,15,23
"Acepta todos los grupos",14,22,16
"Rechaza uno o más grupos",11,16,25
"Rechaza uno o más grupos",NA,22,24
"Acepta todos los grupos",13,18,20
"Acepta todos los grupos",NA,16,24
"Acepta todos los grupos",17,23,15
"Rechaza uno o más grupos",15,20,12
"Acepta todos los grupos",11,11,9
"Rechaza uno o más grupos",19,22,24
"Rechaza uno o más grupos",15,22,18
"Acepta todos los grupos",18,15,23
"Rechaza uno o más grupos",9,NA,25
"Rechaza uno o más grupos",11,18,11
"Rechaza uno o más grupos",13,17,19
"Rechaza uno o más grupos",14,19,16
"Rechaza uno o más grupos",15,20,7
"Rechaza uno o más grupos",15,23,20
"Acepta todos los grupos",15,17,19
"Rechaza uno o más grupos",17,21,23
"Acepta todos los grupos",NA,20,9
"Rechaza uno o más grupos",17,23,21
"Rechaza uno o más grupos",15,18,16
"Acepta todos los grupos",11,17,25
"Rechaza uno o más grupos",15,15,16
"Rechaza uno o más grupos",10,17,15
"Rechaza uno o más grupos",10,7,7
"Acepta todos los grupos",19,17,16
"Rechaza uno o más grupos",NA,22,17
"Rechaza uno o más grupos",13,23,24
"Rechaza uno o más grupos",13,21,23
"Acepta todos los grupos",19,18,16
"Rechaza uno o más grupos",12,20,21
"Rechaza uno o más grupos",11,16,7
"Rechaza uno o más grupos",12,22,18
"Rechaza uno o más grupos",11,17,7
"Rechaza uno o más grupos",12,19,9
"Rechaza uno o más grupos",18,15,15
"Rechaza uno o más grupos",17,18,28
"Acepta todos los grupos",11,15,16
"Rechaza uno o más grupos",11,16,19
"Rechaza uno o más grupos",12,16,22
"Rechaza uno o más grupos",12,19,26
"Rechaza uno o más grupos",16,17,17
"Rechaza uno o más grupos",12,15,22
"Rechaza uno o más grupos",11,11,17
"Acepta todos los grupos",11,22,NA
"Rechaza uno o más grupos",10,24,21
"Rechaza uno o más grupos",19,17,23
"Rechaza uno o más grupos",15,13,7
"Rechaza uno o más grupos",19,18,28
"Acepta todos los grupos",11,16,19
"Acepta todos los grupos",12,21,20
"Rechaza uno o más grupos",11,21,26
"Rechaza uno o más grupos",11,6,7
"Acepta todos los grupos",9,12,13
"Rechaza uno o más grupos",11,6,8
"Rechaza uno o más grupos",12,19,24
"Acepta todos los grupos",15,21,26
"Rechaza uno o más grupos",11,13,28
"Rechaza uno o más grupos",13,22,21
"Acepta todos los grupos",12,19,27
"Rechaza uno o más grupos",15,20,19
"Rechaza uno o más grupos",13,22,21
"Rechaza uno o más grupos",10,16,8
"Rechaza uno o más grupos",11,19,14
"Rechaza uno o más grupos",10,22,23
"Acepta todos los grupos",9,17,26
"Rechaza uno o más grupos",12,17,17
"Rechaza uno o más grupos",9,19,10
"Rechaza uno o más grupos",10,16,17
"Acepta todos los grupos",11,14,21
"Acepta todos los grupos",12,19,15
"Rechaza uno o más grupos",10,16,16
"Rechaza uno o más grupos",14,18,18
"Rechaza uno o más grupos",16,23,24
"Rechaza uno o más grupos",NA,NA,11
"Acepta todos los grupos",17,20,NA
"Rechaza uno o más grupos",14,18,16
"Rechaza uno o más grupos",12,NA,17
"Rechaza uno o más grupos",11,20,15
"Rechaza uno o más grupos",13,16,28
"Rechaza uno o más grupos",12,10,16
"Rechaza uno o más grupos",12,18,18
"Rechaza uno o más grupos",13,17,21
"Acepta todos los grupos",13,23,27
"Rechaza uno o más grupos",12,20,24
"Rechaza uno o más grupos",17,22,25
"Acepta todos los grupos",10,12,21
"Acepta todos los grupos",9,24,28
"Acepta todos los grupos",12,18,19
"Rechaza uno o más grupos",10,14,12
"Rechaza uno o más grupos",11,20,21
